puu_id,region,server,range,league_points,wins,losses,winrate_%,matches_month
YXjBQql7ATSs9DaCBRK1-LxGXwnAiFTnCINIA_uZL3zP_GUcJggBpFh3WgoNyPS7ZROforceaJjUoQ,europe,EUW1,CHALLENGER,2524,597,500,54.42,1097
COllOLyeJ1DUkJlFfN-DtRuYe4m2AYjZNFd7Bpvhx6naR8lEmZfT30dVVbotTkGmkZk4TSIX-gLGVg,europe,EUW1,CHALLENGER,2462,501,430,53.81,931
FGIja8GfC0n3eF-Pz-E69uyW5vY2zoi8Y_4DDt7fZLqQZKIKj3Lhj0q9D_qP0eAMb8O7AYZzFxABPA,europe,EUW1,CHALLENGER,2410,808,714,53.09,1522
Kb5x0Z7MkdFx_IFgTatC_wUrxzKbkkhcQE1DC-uHpgEfY9KWGtl2vEviLpEw_PDeIm8UTmjCMshrnw,europe,EUW1,CHALLENGER,2385,698,541,56.34,1239
-hrph5ojePFWmJY24TC8ezJwCSY9WVwj4BoesKwLuYAoHAc6bhTAB3-Yo0SsmwKhHtz0VoiEKUYcUA,europe,EUW1,CHALLENGER,2383,516,427,54.72,943
biV1k9U0C2K2HRpbL_jctKonic9J-0eay1GGgHZvrmNqf7Iis16s5CjrYOivh1DWU00PvvZnUuLtfQ,europe,EUW1,CHALLENGER,2360,533,431,55.29,964
WwghNg2ozSTg8gRiLKGtDQ39wDEbdE5j3yZawHFezLkl81hub0_XmF1HOl_n70g5z6rGqYxKtRGPtQ,europe,EUW1,CHALLENGER,2344,600,538,52.72,1138
X5Wx2vZ8pykAtqWDqOColXEMIiGLz6rCyDbrFGSOioyrvxMAFUUqP5qhH7GUMnNHl7nG0Am3p9OcvA,europe,EUW1,CHALLENGER,2343,594,536,52.57,1130
xxMWFeIcrlIIzyZzexNVlCWtQvxrWzeq71_pHrmRQfdG13aErXUp_i68-TPql1EXd-sJFTpk2-bpqg,europe,EUW1,CHALLENGER,2338,676,600,52.98,1276
X9iYvQcNQl6f1aT9_U9MTRqND_bnqMTunVdOxmBZrqT29DyLIi67KZBlDFansWhErZym7jbh8ETcMQ,europe,EUW1,CHALLENGER,2333,600,539,52.68,1139
L_uNDV30HWc0zMvSUzr6j61Ke-gpUG6-vuy49_4tHz2mByguva5VtK3tx4KXziQZu2LPl3EdOTW9fw,europe,EUW1,CHALLENGER,2306,619,523,54.2,1142
ASCx8wKuNyfDiCPWJKzvKtgSTeHoy5sTQgFxI9pYM82EJV5sy7pXUBQUbplSoukRD0kTlS66quaVUw,europe,EUW1,CHALLENGER,2270,559,497,52.94,1056
vhZB3pifToG7zYG6IgHBocd75hwQlcVEKNfdDZ7bEzFzKBulNq4Ta-9O4OPNmqg6g-rHRWakRzho5w,europe,EUW1,CHALLENGER,2269,641,589,52.11,1230
2rgrxRORSGOyK0esFDDLkCCBwIlB6RYk1TqTjCU3ur0i-iQuMOQAbRk2vqF_bVioAxE7iVPpr1k6GA,europe,EUW1,CHALLENGER,2237,627,543,53.59,1170
GTwcXUF-gA5a--W8CKJHO42bVLaMHSyd_RNvKqopW-vhOiYbW9NHybSRe0SJV9r2PY14U78HqgVHig,europe,EUW1,CHALLENGER,2225,891,817,52.17,1708
cv1phGtpk95Sbe5wu4e_G3QdSpVnsmvrPNrOwI7k6zsef5SmHHAI8SiUEypNdLIMG1nJZJW7Nw4x2g,europe,EUW1,CHALLENGER,2214,558,469,54.33,1027
sEzDt1Z62CrJ3A78U7UkWfhXe74g9r8T137VjVLhUbDoGOyVfoMsEZg5DgfJ4bfAdmi0_jyv6YB5NQ,europe,EUW1,CHALLENGER,2211,660,596,52.55,1256
1oNmUu3Cmu2rN5kuRm9kve6vt-InXt8FUUwYS0VCKtJibgBJYmMVqBQhDsEEujMg48YAg3j-C__fKA,europe,EUW1,CHALLENGER,2211,560,488,53.44,1048
FudwL7B5Dd5doswqPBgDJk4DREyAqpAc4zb6jI7oQ8XK6BoZoU1fyJ1AM23S4rUW1ZF1XFgeM3d47A,europe,EUW1,CHALLENGER,2199,559,473,54.17,1032
SE7Bh1rkSm1MF_Vb_BOp_G8Z05aax9U1YTyoIa-DHNJebsVPhni9B851tJo_sWe7lUCABwq2OR1fuQ,europe,EUW1,CHALLENGER,2158,697,629,52.56,1326
_0ABJ10OVkg2Rf65tqJdwbocNuLa5LnsD_IQWrvk4Q7Bt9HEw0bcY8XZEfesEVoU9iWPFfz9RSWwwQ,europe,EUW1,CHALLENGER,2145,1197,1088,52.39,2285
17a3EU9WrGVYjTh0HIdo63evnu4ZEh5KCGK_he7ePl4joEGQyQc2izAS8S6eGhozxmUoeWF2lJu1bw,europe,EUW1,CHALLENGER,2128,534,448,54.38,982
fR2KotM2EVg6cY-tHjOIPUIftGLE5VHqp7xDXQxcsDsFibl8dsrBFaq6etWEhWYtyyZqZ1IePrd1vQ,europe,EUW1,CHALLENGER,2124,584,523,52.76,1107
do9j8Mo1xi4XKlhsqw-sND3tziGd9hg7lS9CcKxvlV2UwTA7yQ8bhQm4baw5euGcprt2LpZQtsUcsQ,europe,EUW1,CHALLENGER,2121,519,460,53.01,979
x2DgFceJUJyzrpIgWiBSG4WGaUJS-SqqqG1RDKsA_fs-fCBR1pEJLYJ8g1wJBbEGYd9IIxHXVs74jQ,europe,EUW1,CHALLENGER,2079,559,496,52.99,1055
iXIHQyKMAFlUFoclKftDDV9ULEOnjaHOL_bgZ3B3ymWJbn-oY3u5NP5hTvlddVwTFzI_KseX2-ah5Q,europe,EUW1,CHALLENGER,2051,724,638,53.16,1362
YQgIsKGzeUKTkxsoxItGTOtHJN4qOvk4EKqO9fJvRh03RomCpKmhMQuaJFtdTg_binUAPsM7AsWKRQ,europe,EUW1,CHALLENGER,2050,583,494,54.13,1077
Qf6gc-BamIb-_28RUfB_RbLdEO7K83cvBkSC0pVI_TH9RoMEyEIBPEDgY1bjcDUJU6hkjWrYRYsnkQ,europe,EUW1,CHALLENGER,2040,524,424,55.27,948
BSsmAsB0Ofh_lBMFRlnWz245B0hdGjHMxGxeRokEyolxYi4cDBhoKvBiebxixP8tKfuXXlnKLlNYxA,europe,EUW1,CHALLENGER,2021,539,506,51.58,1045
RCXuC6iULAzNFciZ723PngOCUCQLYG_HfJCpCIjq61NcH5FQkBPShc7c_mTjuoWv6R58b4DCL74lqw,europe,EUW1,CHALLENGER,2012,522,414,55.77,936
vIGfpwqJEK0gE2craevnwpEaNoNkonToTYczfRtmwayaNkXVFbGha4J3YRxm5NSLa1Hi2L-TtYR34A,europe,EUW1,CHALLENGER,2005,615,486,55.86,1101
0FQLus1qD-Mr4iJjmOW-j1cVlevZdS1Ge9g4yurY4tumbrLBQYh9i5bdhemV3RRSyc8OYnCd0xorZA,europe,EUW1,CHALLENGER,1997,511,490,51.05,1001
sCkz9jEfmnnBRoS3B0p2ouGvROn0lgAH2ZBNB5MG0dVBT97FWpuve-vR5yA5G4lZtpSi2dKBPLbtCg,europe,EUW1,CHALLENGER,1990,620,548,53.08,1168
yScyiYcT_ewURH_CInKlLGRt-atWd8vl_Cr-7-Uwre32kRZESw_jJwMxJ1eJN7wnv0LkZi4tLz7CyA,europe,EUW1,CHALLENGER,1981,543,450,54.68,993
FH_YvF9JkLL3dOS1ek1lX1UvV4mC8AUY3mQy8dD7Vtp8Wscw1bzFMh5secmt5nefiJ28WkEWQU7pKQ,europe,EUW1,CHALLENGER,1955,756,666,53.16,1422
0QLEKZIlNfSc1MzKVtmTD8VA6_o6CT2rDQZsNy_iOEVeqo4UoxrvoEZThb6lq9e6yJk_GqaXyzI1qg,europe,EUW1,CHALLENGER,1954,533,451,54.17,984
OuUg3Sf3Bnr89z59ITkhkwZzpI8jOwEy2GNSF1Doz3a82XXIDWvBgPi9Q1TZph63FcQqMNrjEqHxyQ,europe,EUW1,CHALLENGER,1954,506,453,52.76,959
TFIXDinFCja0QuONNscZsW8TtAEpkRZ3Fy1yFR7zblzs6AoMRaq2CRdyeRPUhXF4dUNYcC3H35wKTA,europe,EUW1,CHALLENGER,1953,597,519,53.49,1116
yrUpjAO2LkMS59K_T3j27DEMOQ1XBqGn2QthFJDAo30R6h70og60sjLUdDeMVQ-CaEyIJrfb6n5tRQ,europe,EUW1,CHALLENGER,1943,519,411,55.81,930
CG2rxVufEEW3kAnwflaxywqSRJOB-hATW2fgNPHAH7GnhCViWJ6ij4LPLsIut--MdsIvE0MS1b7nSg,europe,EUW1,CHALLENGER,1941,511,452,53.06,963
i2ItwjgQYGHlNt8YsDhEJH4uRX0494fTIK4Mnu4aY-OAEsJ-wS5fIMcoIlSzAwIalyVYPCBVPY53rg,europe,EUW1,CHALLENGER,1938,526,468,52.92,994
ETQGzFfVDcSX5kMGKKIo_KdjZIbbmmtmkkyXtLMxRwTampgIiASPYgkRuHZpJeFpJGBGSbZiKM7MRQ,europe,EUW1,CHALLENGER,1930,511,422,54.77,933
g4ika_pW17QnZu_Vxow2x0whi5-13mMOz--e8YrGTB_y5hLwBLwmN-z6-T3v4-_SCFx2p9_0D5fvkQ,europe,EUW1,CHALLENGER,1917,777,751,50.85,1528
UcWMAbRbZJQKN0kyAlsja3a1aOqVNbrqQyLPvL-aAAXZsAwGEhf49oRkSpa69XDi85r96aNea2uPiQ,europe,EUW1,CHALLENGER,1915,540,461,53.95,1001
xL3twIhykEfwxeCXg3HguYYtl9pQ9Sx8lB_QA14XUdCgCLPmiijfjvVlbvrjO0MrjTWZUFF2Hl54dA,europe,EUW1,CHALLENGER,1908,565,473,54.43,1038
ScKnvgLfbDX3yiztCcSkiQvNvareZH5hs9rxOdop07fHKx2iOfJ9NiZsTvFLSTr8wxQQAzUrLuXUEg,europe,EUW1,CHALLENGER,1889,623,557,52.8,1180
TB7DGgBCwD3290YQG3qVfvVAv1f8xY4jIfMyD63gqneC8V1C1a7Oi8GRpacYk0RJbKVO7eqNLuijNg,europe,EUW1,CHALLENGER,1888,968,874,52.55,1842
JuXdFpy2psa5JMzzAUfabDtd2av6N8h5Y-VuvKQ3-qKffX2vg-BDPWSFgvboes9-dhrJ8SUEuG-2kQ,europe,EUW1,CHALLENGER,1887,616,549,52.88,1165
Joc4BGJ7meHUwJxs-vSLR84LDFa40YdxU9R0rQIbPg4Jz_aLZ7ErNFqEOSm-KQWfXQSkrMfA2ArKbA,europe,EUW1,CHALLENGER,1874,621,566,52.32,1187
LsRrU-lY_crteCUFHcwi1PdrdxV9C92cS9dgy0Flulzb94NvFzhJq78uGZxntyrwB2VJkM2dG8MGfQ,europe,EUW1,CHALLENGER,1870,508,493,50.75,1001
0ZIiQYnU6bHYwNxpIsyndwyHck74m0gOSFnQIqHcMJRiAKZH9bnSI4x8h7ZSFklPdMeVcwNnGgaOuA,europe,EUW1,CHALLENGER,1864,501,424,54.16,925
EeCqb99YESNFRlaIrywppU6HVW7Js2UnCdIDxSS9D9SK6S6cxoFc6rMyPC2SefrC8Ev77fC9QtJ8GQ,europe,EUW1,CHALLENGER,1856,525,469,52.82,994
D5pYrgLivOSDjLtowh2Zqx8OmX3a9XfddnppjgF4TYBqmtZcNaO6geUBaoxyXWt6Pzfc-3vs5T_RMA,europe,EUW1,CHALLENGER,1855,639,581,52.38,1220
JW3ShARXJMV5Yq0RKlAXwCMgcXZHojX3VOVoK1SIPQrJTmOHHQ9KsAOpO7PB50GQyTOcrehxh2vEpw,europe,EUW1,CHALLENGER,1855,564,505,52.76,1069
qmzD4p0f9eqnrv7BjJQTxX0WXbo1LfowG5nmkFGMtsPkKd7SdYOIUY42QOBjLsfN6MSClrUL4-0CZg,europe,EUW1,CHALLENGER,1855,527,488,51.92,1015
nkYnj2pXp6-2C3YJNNrvmWk00dUiqTtE2pWBfPYuH4Dp7_EMB40M2klfAwhkyedFTCTgvyckHZVPpg,europe,EUW1,CHALLENGER,1849,533,484,52.41,1017
ywvXsWI8N31ZycB_QzoJGix7UKCZCwJnx0tpfgZKqQlzTZbcjEICMY6lsmQVRkQq_z67ZDmsmzzJxQ,europe,EUW1,CHALLENGER,1849,525,514,50.53,1039
zntKmXMuZE299xjr6NIINhHkMQzAeQ2vKIBusEgnOn_Czokg5JduY3HWDcqdayZZqy_hOB6B82NOqA,europe,EUW1,CHALLENGER,1848,619,552,52.86,1171
KZvUPrhm9TVfjIod3qUnNUPTKUqBPpwWnaH_3-1sWpOW7Eif2KshgLeALivWPBOKCJeuPjN246lMmw,europe,EUW1,CHALLENGER,1845,501,450,52.68,951
L3ts30PdAUttOpk5MwKhPIfGdyH_SYWkmLkrPMRmbf3sw2y9mNW_Njg7ZWICXrZYMrUMSSwv29cAdQ,europe,EUW1,CHALLENGER,1837,795,753,51.36,1548
crmE80DGJcpHBTMRj3cliuCsmo1C0xCqW6Mffx-Mzpn5hZS_UrIgR3hYzLWTdx9594M0zgYNrCYQzw,europe,EUW1,CHALLENGER,962,732,642,53.28,1374
cyxf80RpCJXjcb4NAx1jj0hyKhgDily01Hiciun2scCTqvzV3ai8G9H58epSQAJV2yfWSI7w6DdUJw,europe,EUW1,CHALLENGER,466,616,569,51.98,1185
bBEXtTlP8J50itznQOD06YyEYBJmNCG-9bTV9X0_LhEBMZbazQNdn1w3rpFwTnrvreVpVP0NmwAFSA,europe,EUW1,GRANDMASTER,1922,522,388,57.36,910
QVeeHCQYNNarI9QnhITPK-xivIWAFHu8KdhhZxAx7GtHeTKVaBEDQsqvOmG_BxkGAPXKOPEL2bPi0g,europe,EUW1,GRANDMASTER,1825,651,595,52.25,1246
EdybDGGBF31_H4zaJL4tmiCX9ztyT-Vo5Ya8YyZrHbLSK_TOcf4l8wBJvGOnWsJoTjL9VA0cMO4K8Q,europe,EUW1,GRANDMASTER,1806,524,449,53.85,973
NR8NiWioOCeoaUeXLsJgyulb80Th5MgUHxdjUXDdc-b12A9M-SQsau5EQLlWIYXoC9gLufR31mkClg,europe,EUW1,GRANDMASTER,1800,525,447,54.01,972
zOnMBAmugMo8tsZYNmGPqP2VLguR7VMHrg9-Gku9iB_p-DykIU7EcMV_teOLBJVTSd62UpJ_jUIIQQ,europe,EUW1,GRANDMASTER,1788,756,656,53.54,1412
FSroMKZQfaKG-uKweDiHuVJ5PAdsdPtuVSaQVjWdPrdAPRUvRBXa2kQgZBW0eWXPMvI8L7JA53d9gA,europe,EUW1,GRANDMASTER,1784,526,461,53.29,987
1qtOssWcgY4A5v1q6JejbMI5smGzGDqlCkoy9-mUpbGnxJ8P8vEtmWck5wqcaldeFDccRwHmC5wNcw,europe,EUW1,GRANDMASTER,1777,677,593,53.31,1270
sfDT3RZ2QsZCptd3egf8Ru5XrppRpT-RdMESftyBZyZww6pYG1amZ6I51CnK1w8aTRU8k6eO5BMIyw,europe,EUW1,GRANDMASTER,1775,737,643,53.41,1380
iox8Us5M7QwonMjK0D56zgnyBh-TtvWxCvyFI3IR2h5wgAVJRntBSEF6nGRrVSkZT98X2NE8JQ1gzg,europe,EUW1,GRANDMASTER,1753,650,600,52.0,1250
y0Yx-LuQxfVhOyMdtPEsSfhVv-XB8xf3Ap7M8clnCbcoQ-3VnLWJgnnuOTsR3cnIfGXa7an5d_0JwQ,europe,EUW1,GRANDMASTER,1737,547,479,53.31,1026
VzFaV0m6gTOJ-oov_vGCqUKg6oghVlijx7phjLIFDKUaCxa_HNM7rxpfWCh2NlZbMJeMFOhYtfZtrA,europe,EUW1,GRANDMASTER,1736,512,440,53.78,952
ePI9aRsopoGPYQnEALspoEeX1ctCsUuYdLMj2aEU_PdLtz6xyjdOePOqehPMaDL7InFTbh3yE1o18A,europe,EUW1,GRANDMASTER,1726,556,522,51.58,1078
O50YCaMCEXEAFqVpwi9rH8ZJE5Gyrpz2JTWJswOazJGel97iSA6rSVya711EoX_s2CnE8E-OIM8qrQ,europe,EUW1,GRANDMASTER,1719,1067,961,52.61,2028
VRVTRloyvtMbrOaLE4kSq-E5etv-3TnyFu_ZKTEHnDDXUlitJ3TVILAWvvI_dDct7mPEhx6AuzJ8Pw,europe,EUW1,GRANDMASTER,1716,568,502,53.08,1070
vp7jrC59z-tgDfdJ6chdDpAbrF0Z6UZ0U64kjZ4oMKvxty-Uph6FWxmQlmwynsrLaHMq9uDtjXmEnA,europe,EUW1,GRANDMASTER,1707,504,455,52.55,959
xJbZez7u08vI9OZHbDivEVgqCPHASV_DIzfsxy2UKOFVFLkGOkJFxsUxl0SXSUd-amZTBl6GzPyXRw,europe,EUW1,GRANDMASTER,1705,523,444,54.08,967
eei0y43FsWKZuwI2xmTOEBII5BT3C9ao65NACGT76sYukQizCTJp0YGsFdmFpqg0rzZeZjjKyUMySg,europe,EUW1,GRANDMASTER,1697,525,481,52.19,1006
QVWj8Vw7WxO2GqXmcTo6jEII9dkUOBe-YCmIfIrEEJEObbT-89kWFCPPTj75UWQ92wAlrYKIGDy9Sw,europe,EUW1,GRANDMASTER,1696,505,453,52.71,958
eHTxd-rrY2hxcme_LC2ASI-9mAXDIlSXcumTe86MWoBkLq-2hoPjuXIt9Y2MzH-YUgKV0TGSMmOKRA,europe,EUW1,GRANDMASTER,1695,735,694,51.43,1429
4_YM8jeO5KAsWJjI-_v6z2GQbIVlcyYOe0HBYkB5zdrR1lr8nd1r0VmB4O8GF5_ATGcA1WDdFeWnWQ,europe,EUW1,GRANDMASTER,1689,587,486,54.71,1073
1vS0iWytVDYuYdjHvsNCFiSV5RbNjPkN-o2FoAT61PrPn8qCKyZ6cIP6xhjwZdmYLfQXOGaks0TY4Q,europe,EUW1,GRANDMASTER,1684,507,460,52.43,967
bq86K96Km5T_j2xTlmSNiB5b_ttOMzN0_LMgo3MADgTAkFvkZszO4iVUI03VR-vsYjK507to79HYhQ,europe,EUW1,GRANDMASTER,1678,550,464,54.24,1014
WfxwLUF20UAtXe2o3PBpYbIPVMWVf6deUrhl5IukY4IqMyWbL9RW2Bj1qTa5w88p8o-xMlLNcxLS8w,europe,EUW1,GRANDMASTER,1677,563,526,51.7,1089
9p2PPRt8NIMJUsiFFP-CH9KqOhUOUBAv3dBHWlpBYQD6VkC3OUGfap5DFho7gkYPGnrXB38eyNvDIQ,europe,EUW1,GRANDMASTER,1675,521,474,52.36,995
PNNwg8GLtzufAfGtClCKuBOEX0zc2f_r0b_Pi7CdkYZTFpBPWS4jp-b8e0GJCqrlBmJdH3LRNFYJ_A,europe,EUW1,GRANDMASTER,1652,802,735,52.18,1537
kT4NFDDJWixjjjKwn7V8P2PNOANMglovRI__g1r80CEpBAPUpBB9pIs4kNQrmylqJL3FufD7-t6rPQ,europe,EUW1,GRANDMASTER,1646,554,473,53.94,1027
06tQhmBcXu4piW7AzDzMz-8sScSc42e4L4dhcgx1-agItpR-0LDg_Cj84okNuR940bUBFBc1KvMh1w,europe,EUW1,GRANDMASTER,1643,507,454,52.76,961
QfvXyJbmE8WBAfmR-YFbP5MByERSbHpGRR1qgdK47Uni5h4xxdxyYvEYSfHwlIr1BCq_2jOAcBhIvA,europe,EUW1,GRANDMASTER,1632,589,517,53.25,1106
8ZMSoFT8qxF2DLroqiv-7JbMaf2nrNl9ut_QqxNmQEfwcTDBDawusgQSpUrdzUU6QFHi9UhsqisBjA,europe,EUW1,GRANDMASTER,1623,529,489,51.96,1018
T1M-jHrXw5KsFPibMcRni_sejPaVQWoSW1ImZiVVxP7EvLQJAYMhe9FnKcR9Pi0x5nKD1XLoWwy9mA,europe,EUW1,GRANDMASTER,1621,543,506,51.76,1049
e1hMM04fCfQUUln1vHzJ9s6fJNx0TXYj6ZfwwMUxN5fgsJJsbEk3SKnuuTluKUg5DlKrKk4All8CnA,europe,EUW1,GRANDMASTER,1616,604,555,52.11,1159
6G7E0VYwGH9gJz8Oo27nDPhtLqE7eR1O-yhkmEtaL-MARknkC8TtdG7Ko2VBIb-0L9RtdeHEOkcwHA,europe,EUW1,GRANDMASTER,1612,612,565,52.0,1177
8bLZqa9OtCbjD9zCe5m_-c6FurM_X5aAsRHQKAlfRm_2M9WtK9cwNKvngtTJVmyvG4HaQiDyc3bZ7w,europe,EUW1,GRANDMASTER,1607,570,513,52.63,1083
q6na8qOnsfuWrEqVSdnmq3QHJ0h_4mOsPan93RIeQKPYAjsC4c0485Ya0MvUGMQ8W5hV-fKzWs14gg,europe,EUW1,GRANDMASTER,1605,539,456,54.17,995
ni0c63cvVmFrf37ydqBxDMBI32nsLZ_CKH0BO1SwqKIyPWB1_Utg04Xn3djh0gNuzdad1Ew0tGUYrw,europe,EUW1,GRANDMASTER,1603,509,499,50.5,1008
6QLyzpJfjhiJxJRep0LX5oF2ki7JWFl1wWvsFj6hLgeWk63t-XYQdkVRCxVQa-VOJy60d3wo7WNeXw,europe,EUW1,GRANDMASTER,1602,524,467,52.88,991
U_606ddWZEtr_10h02A0XM7Zy7l4LBTJVUGbQelqVBngudiX1psvxKLqmfXV8PVyZvJ3urnvnu4Ocg,europe,EUW1,GRANDMASTER,1601,538,486,52.54,1024
CUGaTVqrZMUmVi1xnS4qXdwieGNfZTy7JLKFGQrsVbdLQq_PDkx4mTzmOf4-juYHuXpi6k4rGSiWMA,europe,EUW1,GRANDMASTER,1588,646,594,52.1,1240
F8DQ3aWW60BOdDNMlO_8_w3ksD7HkTHQ6BUCsxxvgU0NHFM1hsfpTXFGxWnKbSzRSvbWCTA2oDYVqQ,europe,EUW1,GRANDMASTER,1587,543,506,51.76,1049
RAN4mlBLiF0u8foOHZtFAVfDcfpITYcOk5xXS3BB_ZX00uiPBE8S5UU9pb_YwFMIm4He5L2YxN7z3w,europe,EUW1,GRANDMASTER,1585,662,640,50.84,1302
btGJCayic-X64T81FNYGSAtLBQ963O5WAJfslmupxmQDWeWCgI2nM2jxSTXMlquIhlV4SxUdZwezEg,europe,EUW1,GRANDMASTER,1584,849,788,51.86,1637
XTSWA47JibMpK9yL_3MatAZPJlze9f1kWnXlS7yGluw1LKz9LASB-B4Yng9ZX-lwFLKqLpyTEQ_EZw,europe,EUW1,GRANDMASTER,1582,566,492,53.5,1058
xlLF8nSN0N1UqCNU2GOO1q1UB81_OEuwHDuONPrWaBmXNdabDKjhNZ5ovKYScRv6ZxFucr2yOB_WCA,europe,EUW1,GRANDMASTER,1575,568,523,52.06,1091
zs8psYtP_3dT3eEayZiWmApsbKtgJW21jM5t6BRc85twpL2wkVEOlzYqhoe_jP6n_yar012XwoxwdA,europe,EUW1,GRANDMASTER,1562,575,505,53.24,1080
-o8o6MI2FC6yW2nTLJpbGn7Xm-uucmkaWCg9rKwc9XQ2uR3Wl96qVTts_XGCJ0hx3t5LB7_evpThrg,europe,EUW1,GRANDMASTER,1558,597,505,54.17,1102
C4yMYJAKi0XizlFCMSDgGmqBUSxW3wcARgyEC3BuCzvT-4hUAkhTK9WePhSOs1Pe84MgZzHuixIL_Q,europe,EUW1,GRANDMASTER,1545,545,416,56.71,961
mreGa7GziAPlyVFCJx1davsqVlOBtY5N_gzZ29meX0HxGz7eZ3ureBOfrg3BMF-GBWvFUKBwh7benA,europe,EUW1,GRANDMASTER,1537,522,510,50.58,1032
L9aemX1FIS2iIumDSgkjvvXep3vlH2pWoBr1CyNlBASB58iDMC0bYAUHj-dgb5TQ42Et2IjnmshgQw,europe,EUW1,GRANDMASTER,1530,965,936,50.76,1901
kWfRUhntjN3pwSdHuh9WZFPrNA0C5MOIY0-MmanneSyxam7BldBOURA7KEjZ1pXlYeWL_zhGJJGefQ,europe,EUW1,GRANDMASTER,1524,575,528,52.13,1103
J-iMY13Ez2JjRhJ7uIvuFwRFvDogklDRifC089mKeD7bdhkhku7Mqc5RnwXRtrxBPaeaKMDygRkahw,europe,EUW1,GRANDMASTER,1517,522,503,50.93,1025
ra6NWXmYgaRHj824w78qVaSUvx_nF0yV4ki4XvTbuQ0RvimEL6VN8otPSJc-HGVyoOkw4oIQsJzUDw,europe,EUW1,GRANDMASTER,1512,581,528,52.39,1109
G3xsL4hJyOB-LS0Yvm0PjIjIuwxeBdQZtGnnr-udOFlZOT3C1gImY4Nk7xvu05Fi_QCOS6ahX3zHRw,europe,EUW1,GRANDMASTER,1512,537,495,52.03,1032
gocgt1wnFjIDtI1xAZRoRS5UdpW9Z0l5OMA4xDxlZZuMY9mAOKUwtOMBjSQI7ucbPbnTe5Du5NJ-Fw,europe,EUW1,GRANDMASTER,1505,504,442,53.28,946
ZUAZWwJa5JYiWpsE8ZLpdLfK1zO6Gt2Yctgjvpf2j-UDmGwFy_koV80u-mzFhxH29jNmatrdRLnF0w,europe,EUW1,GRANDMASTER,1495,622,584,51.58,1206
