item_id,item_name,gold_total,gold_sell
223742,Dead Man's Plate,2500,1250
223748,Titanic Hydra,2500,1250
223814,Edge of Night,2500,1250
224004,Spectral Cutlass,2500,1250
224005,Imperial Mandate,2500,1250
224401,Force of Nature,2500,1250
224403,The Golden Spatula,2500,1750
224628,Horizon Focus,2500,1250
224629,Cosmic Drive,2500,1250
224633,Riftmaker,2500,1250
224636,Night Harvester,2500,1750
224637,Demonic Embrace,2500,1750
224644,Crown of the Shattered Queen,2500,1750
224645,Shadowflame,2500,1250
224646,Stormsurge,2500,1250
226035,Silvermere Dawn,2500,1750
226333,Death's Dance,2500,1250
226609,Chempunk Chainsword,2500,1250
226610,Sundered Sky,2500,1250
226616,Staff of Flowing Water,2500,1250
226617,Moonstone Renewer,2500,1250
226620,Echoes of Helia,2500,1250
226621,Dawncore,2500,1250
226630,Goredrinker,2750,1100
226631,Stridebreaker,2500,1250
226632,Divine Sunderer,2500,1750
226653,Liandry's Anguish,2500,1250
226655,Luden's Echo,2500,1250
226656,Everfrost,2500,1750
226657,Rod of Ages,2500,1250
226660,,0,0
226662,Iceborn Gauntlet,2500,1250
226664,Hollow Radiance,2500,1250
226665,"Jak'Sho, The Protean",2500,1250
226667,Radiant Virtue,2500,1750
226671,Galeforce,2500,1750
226672,Kraken Slayer,2500,1250
226673,Immortal Shieldbow,2500,1250
226675,Navori Flickerblades,2500,1250
226676,The Collector,2500,1250
226691,Duskblade of Draktharr,2500,1750
226692,Eclipse,2500,1250
226693,Prowler's Claw,2750,1100
226694,Serylda's Grudge,2500,1250
226695,Serpent's Fang,2500,1250
226696,Axiom Arc,2500,1250
226697,Hubris,2500,1250
226698,Profane Hydra,2500,1250
226699,Voltaic Cyclosword,2500,1250
226701,Opportunity,2500,1250
228001,Anathema's Chains,2500,1250
228002,Wooglet's Witchcap,6000,4200
228003,Deathblade,9000,6300
228004,Adaptive Helm,6000,4200
228005,Obsidian Cleaver,3000,2100
228006,Sanguine Blade,3000,2100
228008,Runeglaive,9000,6300
228009,Multitool,2500,1250
228020,Abyssal Mask,2500,1250
2403,Minion Dematerializer,0,0
2420,Seeker's Armguard,1600,640
2421,Shattered Armguard,1600,640
2422,Slightly Magical Footwear,300,90
2501,Overlord's Bloodmail,3300,2310
2502,Unending Despair,2800,1960
2503,Blackfire Torch,2800,1960
2504,Kaenic Rookern,2900,2030
2508,Fated Ashes,900,630
2510,Dusk and Dawn,3100,2170
2512,Fiendhunter Bolts,2650,1855
2517,Endless Hunger,3100,2170
2520,Bastionbreaker,3200,2240
2522,Actualizer,2800,1960
2523,Hexoptics C44,2800,1960
2524,Bandlepipes,2300,1610
2525,Protoplasm Harness,2500,1750
2526,Whispering Circlet,2250,1575
2530,Diadem of Songs,2250,1575
3001,Evenshroud,2300,1610
3002,Trailblazer,2400,1680
3003,Archangel's Staff,2900,2030
3004,Manamune,2900,2030
3005,Ghostcrawlers,1000,700
3006,Berserker's Greaves,1100,770
3008,Gluttonous Greaves,1000,700
3009,Boots of Swiftness,1000,700
3010,Symbiotic Soles,900,630
3011,Chemtech Putrifier,1900,1330
3012,Chalice of Blessing,900,630
3013,Synchronized Souls,900,630
3020,Sorcerer's Shoes,1100,770
3023,Lifewell Pendant,1050,735
3024,Glacial Buckler,900,630
3026,Guardian Angel,3200,1280
3031,Infinity Edge,3500,2450
3032,Yun Tal Wildarrows,3100,2170
3033,Mortal Reminder,3000,2100
3035,Last Whisper,1450,1015
3036,Lord Dominik's Regards,3300,2310
3039,Atma's Reckoning,2900,2030
3040,Seraph's Embrace,2900,2030
3041,Mejai's Soulstealer,1500,1050
3042,Muramana,2900,2030
3044,Phage,1100,770
3046,Phantom Dancer,2650,1855
3047,Plated Steelcaps,1200,840
3050,Zeke's Convergence,2200,1540
3051,Hearthbound Axe,1200,840
3053,Sterak's Gage,3200,2240
3057,Sheen,900,630
3065,Spirit Visage,2700,1890
3066,Winged Moonplate,800,560
3067,Kindlegem,800,560
3068,Sunfire Aegis,2700,1890
3070,Tear of the Goddess,400,280
3071,Black Cleaver,3000,2100
3072,Bloodthirster,3400,2380
3073,Experimental Hexplate,3000,2100
3074,Ravenous Hydra,3300,2310
3075,Thornmail,2450,1715
3076,Bramble Vest,800,560
3077,Tiamat,1200,840
3078,Trinity Force,3333,2333
3082,Warden's Mail,1000,700
3083,Warmog's Armor,3100,2170
3084,Heartsteel,3000,2100
3085,Runaan's Hurricane,2650,1855
3086,Zeal,1200,840
3087,Statikk Shiv,3000,2100
3089,Rabadon's Deathcap,3500,2450
3091,Wit's End,2800,1960
3094,Rapid Firecannon,2650,1855
3095,Deprecated item,3000,2100
3097,Stormrazor,3200,2240
3100,Lich Bane,2900,2030
3102,Banshee's Veil,3000,2100
3105,Aegis of the Legion,1100,770
3107,Redemption,2300,1610
3108,Fiendish Codex,850,595
3109,Knight's Vow,2300,1610
3110,Frozen Heart,2500,1750
3111,Mercury's Treads,1250,875
3112,Guardian's Orb,950,665
3113,Aether Wisp,900,630
3114,Forbidden Idol,600,420
3115,Nashor's Tooth,2900,2030
3116,Rylai's Crystal Scepter,2600,1820
3117,Mobility Boots,1000,700
3118,Malignance,2700,1890
3119,Winter's Approach,2400,1680
3121,Fimbulwinter,2400,1680
3123,Executioner's Calling,800,560
3124,Guinsoo's Rageblade,3000,2100
3128,Deathfire Grasp,2900,2030
3131,Sword of the Divine,2300,1610
3133,Caulfield's Warhammer,1050,735
3134,Serrated Dirk,1000,700
3135,Void Staff,3000,2100
3137,Cryptbloom,3000,2100
3139,Mercurial Scimitar,3200,2240
3140,Quicksilver Sash,1300,910
3142,Youmuu's Ghostblade,2800,1960
3143,Randuin's Omen,2700,1890
3144,Scout's Slingshot,600,420
3145,Hextech Alternator,1100,770
3146,Hextech Gunblade,3000,2100
3147,Haunting Guise,1300,910
3152,Hextech Rocketbelt,2650,1855
3153,Blade of The Ruined King,3200,2240
3155,Hexdrinker,1300,910
3156,Maw of Malmortius,3100,2170
3157,Zhonya's Hourglass,3250,2275
3158,Ionian Boots of Lucidity,900,630
3161,Spear of Shojin,3100,2170
3165,Morellonomicon,2850,1995
3168,Immortal Path,1000,700
3170,Swiftmarch,1000,700
3171,Crimson Lucidity,900,630
3172,Gunmetal Greaves,1100,770
3173,Chainlaced Crushers,1250,875
3174,Armored Advance,1200,840
3175,Spellslinger's Shoes,1100,770
3176,Forever Forward,900,630
3177,Guardian's Blade,950,665
3179,Umbral Glaive,2800,1960
3181,Hullbreaker,3000,2100
3184,Guardian's Hammer,950,665
3190,Locket of the Iron Solari,2200,1540
3193,Gargoyle Stoneplate,3150,2205
3211,Spectre's Cowl,1250,875
322065,Shurelya's Battlesong,2600,1820
3222,Mikael's Blessing,2300,1610
322526,Whispering Circlet,2250,1575
322530,Diadem of Songs,2250,1575
323002,Trailblazer,2600,1820
323003,Archangel's Staff,2900,2030
323004,Manamune,2900,2030
323040,Seraph's Embrace,2900,2030
323042,Muramana,2900,2030
323050,Zeke's Convergence,2300,1610
323070,Tear of the Goddess,400,280
323075,Thornmail,2650,1855
323107,Redemption,2800,1960
323109,Knight's Vow,2900,2030
323110,Frozen Heart,2700,1890
323119,Winter's Approach,2400,1680
323121,Fimbulwinter,2400,1680
323190,Locket of the Iron Solari,2600,1820
323222,Mikael's Blessing,2800,1960
323504,Ardent Censer,2600,1820
324005,Imperial Mandate,2400,1680
326616,Staff of Flowing Water,2600,1820
326617,Moonstone Renewer,2900,2030
326620,Echoes of Helia,2600,1820
326621,Dawncore,2900,2030
326657,Rod of Ages,2600,1820
328020,Abyssal Mask,2850,1995
3302,Terminus,3000,2100
3330,Scarecrow Effigy,0,0
3340,Stealth Ward,0,0
3348,Arcane Sweeper,0,0
3349,Lucent Singularity,0,0
3363,Farsight Alteration,0,0
3364,Oracle Lens,0,0
3398,Small Party Favor,0,0
3399,Party Favor,0,0
3400,Your Cut,0,0
3430,Rite Of Ruin,2500,1250
3504,Ardent Censer,2200,1540
3508,Essence Reaver,3050,2135
3513,Eye of the Herald,0,0
3599,Kalista's Black Spear,0,0
3600,Kalista's Black Spear,0,0
3742,Dead Man's Plate,2900,2030
3748,Titanic Hydra,3300,2310
3801,Crystalline Bracer,800,560
3802,Lost Chapter,1200,840
3803,Catalyst of Aeons,1300,910
3814,Edge of Night,3000,2100
3850,Spellthief's Edge,400,160
3851,Frostfang,400,160
3853,Shard of True Ice,400,160
3854,Steel Shoulderguards,400,160
3855,Runesteel Spaulders,400,160
3857,Pauldrons of Whiterock,400,160
3858,Relic Shield,400,160
3859,Targon's Buckler,400,160
3860,Bulwark of the Mountain,400,160
3862,Spectral Sickle,400,160
3863,Harrowing Crescent,400,160
3864,Black Mist Scythe,400,160
3865,World Atlas,400,160
3866,Runic Compass,400,160
3867,Bounty of Worlds,400,160
3869,Celestial Opposition,400,160
3870,Dream Maker,400,160
3871,Zaz'Zak's Realmspike,400,160
3876,Solstice Sleigh,400,160
3877,Bloodsong,400,160
3901,<rarityLegendary>Fire at Will</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>,0,0
3902,<rarityLegendary>Death's Daughter</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>,0,0
3903,<rarityLegendary>Raise Morale</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>,0,0
3916,Oblivion Orb,800,560
4003,Lifeline,1600,1120
4004,Spectral Cutlass,2800,1960
4005,Imperial Mandate,2400,1680
4010,Bloodletter's Curse,2500,1250
4011,Sword of Blossoming Dawn,2500,1250
4012,Sin Eater,3000,2100
4013,Lightning Braid,3000,2100
4014,Frozen Mallet,3000,2100
4015,Perplexity,2500,1250
4016,Wordless Promise,2500,1250
4017,Hellfire Hatchet,2500,1250
4401,Force of Nature,2800,1960
4402,Innervating Locket,2950,2065
4403,The Golden Spatula,7187,5031
443054,Darksteel Talons,2750,1100
443055,Fulmination,2750,1100
443056,Demon King's Crown,2750,1100
443058,Shield of Molten Stone,2750,1100
443059,Cloak of Starry Night,2750,1100
443060,Sword of the Divine,2750,1100
443061,Force Of Entropy,2750,1100
443062,Sanguine Gift,2750,1100
443063,Eleisa's Miracle,2750,1100
443064,Talisman Of Ascension,2750,1100
443069,Hamstringer,2750,1100
443079,Turbo Chemtank,2750,1100
443080,Twin Mask,2750,1100
443081,Hexbolt Companion,2750,1100
443083,Warmog's Armor,2750,1100
443090,Reaper's Toll,2750,1100
443193,Gargoyle Stoneplate,2750,1100
444636,Night Harvester,2750,1100
444637,Demonic Embrace,2750,1100
444644,Crown of the Shattered Queen,2750,1100
446632,Divine Sunderer,2750,1100
446656,Everfrost,2750,1100
446667,Radiant Virtue,2750,1100
446671,Galeforce,2750,1100
446691,Duskblade of Draktharr,2750,1100
446693,Prowler's Claw,1000,400
447100,Mirage Blade,2750,1100
447101,Gambler's Blade,2750,1100
447102,Reality Fracture,2750,1100
447103,Hemomancer's Helm,2750,1100
447104,Innervating Locket,2750,1100
447105,Empyrean Promise,2750,1100
447106,Dragonheart,2750,1100
447107,Decapitator,2750,1100
447108,Runecarver,2750,1100
447109,Cruelty,2750,1100
447110,Moonflair Spellblade,2750,1100
447111,Overlord's Bloodmail,2500,1250
447112,Flesheater,2750,1100
447113,Detonation Orb,2750,1100
447114,Reverberation,2750,1100
447115,Regicide,2750,1100
447116,Kinkou Jitte,2750,1100
447118,Pyromancer's Cloak,2750,1100
447119,Lightning Rod,2750,1100
447120,Diamond-Tipped Spear,2750,1100
447121,Twilight's Edge,2750,1100
447122,Black Hole Gauntlet,2750,1100
447123,Puppeteer,2750,1100
4628,Horizon Focus,2700,1890
4629,Cosmic Drive,3000,2100
4630,Blighting Jewel,1100,770
4632,Verdant Barrier,1600,1120
4633,Riftmaker,3100,2170
4635,Leeching Leer,1265,886
4636,Night Harvester,2765,1936
4637,Demonic Embrace,3000,2100
4638,Watchful Wardstone,1100,770
4641,Stirring Wardstone,350,140
4642,Bandleglass Mirror,900,630
4643,Vigilant Wardstone,2300,1610
4644,Crown of the Shattered Queen,2865,2006
4645,Shadowflame,3200,2240
4646,Stormsurge,2800,1960
550001,Healthbar Splash: Blue,0,0
550002,Healthbar Splash: Orange,0,0
550003,Healthbar Splash: Green,0,0
550004,Healthbar Splash: Pink,0,0
550005,Healthbar Cleanup: Reset Color,0,0
550006,Healthbar Splash: Rainbow,0,0
550007,Party Favor,10,0
6029,Ironspike Whip,1100,770
6032,Stat Bonus,750,375
6035,Silvermere Dawn,3000,2100
6333,Death's Dance,3300,2310
6609,Chempunk Chainsword,3000,2100
6610,Sundered Sky,3100,2170
6616,Staff of Flowing Water,2250,1575
6617,Moonstone Renewer,2200,1540
6620,Echoes of Helia,2200,1540
6621,Dawncore,2500,1750
6630,Goredrinker,3200,2240
663039,Atma's Reckoning,2500,1250
663056,Demon King's Crown,2500,1000
663058,Shield of Molten Stone,2500,1000
663059,Cloak of Starry Night,2500,1000
663060,Sword of the Divine,2500,1000
663064,Veigar's Talisman of Ascension,900,0
6631,Stridebreaker,3300,2310
663146,Hextech Gunblade,2500,1250
663172,Zephyr,2500,1250
663193,Gargoyle Stoneplate,2500,1000
6632,Divine Sunderer,3450,2415
664011,Sword of Blossoming Dawn,2500,1250
664403,The Golden Spatula,2500,1750
664644,Crown of the Shattered Queen,2500,1000
6653,Liandry's Torment,3000,2100
6655,Luden's Echo,2750,1925
6656,Everfrost,2865,2006
6657,Rod of Ages,2600,1820
6660,Bami's Cinder,900,630
6662,Iceborn Gauntlet,2900,2030
6664,Hollow Radiance,2800,1960
6665,"Jak'Sho, The Protean",3200,2240
6667,Radiant Virtue,2600,1820
6670,Noonquiver,1300,910
6671,Galeforce,3500,2450
667101,Gambler's Blade,2500,0
667109,Cruelty,2500,1000
667112,Flesheater,2500,1000
6672,Kraken Slayer,3000,2100
6673,Immortal Shieldbow,3000,2100
6675,Navori Flickerblade,2650,1855
6676,The Collector,3000,2100
667666,The Collector,3000,2100
6677,Rageknife,1100,770
6690,Rectrix,775,543
6691,Duskblade of Draktharr,2950,2065
6692,Eclipse,2900,2030
6693,Prowler's Claw,2850,1995
6694,Serylda's Grudge,3000,2100
6695,Serpent's Fang,2500,1750
6696,Axiom Arc,2750,1925
6697,Hubris,2800,1960
6698,Profane Hydra,2850,1995
6699,Voltaic Cyclosword,3000,2100
6700,Shield of the Rakkor,2675,1873
6701,Opportunity,2700,1890
6702,Scouting Ahead,0,0
7050,Gangplank Placeholder,0,0
8001,Anathema's Chains,2500,1750
8010,Bloodletter's Curse,2900,2030
8020,Abyssal Mask,2650,1855
9168,Locked Weapon Slot,0,0
9171,Cyclonic Slicers,0,0
9172,YuumiBot,0,0
9173,Radiant Field,0,0
9174,Statikk Sword,0,0
9175,Lioness's Lament,0,0
9176,Gatling Bunny-Guns,0,0
9177,Searing Shortbow,0,0
9178,The Annihilator,0,0
9179,Battle Bunny Crossbow,0,0
9180,UwU Blaster,0,0
9181,Vortex Glove,0,0
9183,Blade-o-rang,0,0
9184,Bunny Mega-Blast,0,0
9185,Anti-Shark Sea Mine,0,0
9187,T.I.B.B.E.R.S,0,0
9188,Ani-Mines,0,0
9189,Final City Transit,0,0
9190,Echoing Batblades,0,0
9192,Paw Print Poisoner,0,0
9193,Iceblast Armor,0,0
9271,Unceasing Cyclone,0,0
9272,YuumiBot_Final_FINAL,0,0
9273,Explosive Embrace,0,0
9274,Prumbis's Electrocarver,0,0
9275,Enveloping Light,0,0
9276,Double Bun-Bun Barrage,0,0
9277,Evolved Embershot,0,0
9278,Animapocalypse,0,0
9279,Bunny Prime Ballista,0,0
9280,OwO Blaster,0,0
9281,Tempest's Gauntlet,0,0
9283,Quad-o-rang,0,0
9284,Rapid Rabbit Raindown,0,0
9285,Neverending Mobstomper,0,0
9287,T.I.B.B.E.R.S (B.E.E.G Edition),0,0
9288,Jinx's Tri-Namite,0,0
9289,FC Limited Express,0,0
9290,Vayne's Chromablades,0,0
9292,Bearfoot Chem-Dispenser,0,0
9293,Deep Freeze,0,0
9300,Meow Meow,0,0
9301,Shield Slam,0,0
9302,Sound Wave,0,0
9303,Pillory Swipe,0,0
9304,Steel Tempest,0,0
9305,Tentacle Slam,0,0
9306,Winged Dagger,0,0
9307,Guiding Hex,0,0
9308,Bunny Hop,0,0
9400,Battle Cat Barrage,0,0
9401,Light of the Lion,0,0
9402,Anima Echo,0,0
9403,Savage Slice,0,0
9404,Wandering Storms,0,0
9405,Grizzly Smash,0,0
9406,Lover's Ricochet,0,0
9407,Hopped-Up Hex,0,0
9408,Carrot Crash,0,0
994403,Golden Spatula,2500,1750
